datetime,curah_hujan
01-01-2019,8.5
02-01-2019,2.3
03-01-2019,0.4
04-01-2019,0
05-01-2019,0
06-01-2019,8888
07-01-2019,0
08-01-2019,9.6
09-01-2019,3
10-01-2019,70.4
11-01-2019,2
12-01-2019,17
13-01-2019,3
14-01-2019,5.2
15-01-2019,1.6
16-01-2019,0
17-01-2019,2.3
18-01-2019,0
19-01-2019,17.6
20-01-2019,1.5
21-01-2019,3
22-01-2019,5.6
23-01-2019,26.9
24-01-2019,7
25-01-2019,45.1
26-01-2019,36.6
27-01-2019,11
28-01-2019,14
29-01-2019,1.4
30-01-2019,86.6
31-01-2019,0.6
01-02-2019,8.1
02-02-2019,2.2
03-02-2019,0
04-02-2019,14
05-02-2019,0
06-02-2019,4.5
07-02-2019,4.2
08-02-2019,0
09-02-2019,0
10-02-2019,0
11-02-2019,20.1
12-02-2019,14.5
13-02-2019,49
14-02-2019,0
15-02-2019,0
16-02-2019,20.5
17-02-2019,45
18-02-2019,8888
19-02-2019,8888
20-02-2019,24
21-02-2019,21.7
22-02-2019,10.4
23-02-2019,27
24-02-2019,2.4
25-02-2019,0
26-02-2019,0
27-02-2019,0
28-02-2019,2.5
01-03-2019,1
02-03-2019,0.9
03-03-2019,3.5
04-03-2019,34.5
05-03-2019,75.6
06-03-2019,90.5
07-03-2019,5.4
08-03-2019,0
09-03-2019,22
10-03-2019,0
11-03-2019,0.4
12-03-2019,4.1
13-03-2019,6.8
14-03-2019,28
15-03-2019,0
16-03-2019,0.5
17-03-2019,0
18-03-2019,7.8
19-03-2019,2.8
20-03-2019,8888
21-03-2019,0
22-03-2019,0
23-03-2019,3.2
24-03-2019,1.2
25-03-2019,0
26-03-2019,5
27-03-2019,10.5
28-03-2019,17
29-03-2019,1
30-03-2019,5
31-03-2019,0.6
01-04-2019,8888
02-04-2019,12
03-04-2019,8.8
04-04-2019,5.6
05-04-2019,8888
06-04-2019,1.7
07-04-2019,2
08-04-2019,50.6
09-04-2019,3.5
10-04-2019,0
11-04-2019,0
12-04-2019,0
13-04-2019,0
