datetime,curah_hujan
01-01-2013,"1,7"
02-01-2013,0
03-01-2013,"1,3"
04-01-2013,"34,4"
05-01-2013,"6,4"
06-01-2013,0
07-01-2013,"3,5"
08-01-2013,"7,4"
09-01-2013,"22,3"
10-01-2013,20
11-01-2013,0
12-01-2013,"98,1"
13-01-2013,3
14-01-2013,"55,7"
15-01-2013,"37,9"
16-01-2013,81
17-01-2013,"193,4"
18-01-2013,"1,4"
19-01-2013,"16,6"
20-01-2013,"3,4"
21-01-2013,0
22-01-2013,0
23-01-2013,"10,2"
24-01-2013,"2,3"
25-01-2013,"11,6"
26-01-2013,0
27-01-2013,0
28-01-2013,"0,8"
29-01-2013,"9,5"
30-01-2013,0
31-01-2013,8888
01-02-2013,"0,1"
02-02-2013,"3,3"
03-02-2013,0
04-02-2013,23
05-02-2013,8888
06-02-2013,"35,6"
07-02-2013,0
08-02-2013,0
09-02-2013,"0,1"
10-02-2013,"0,5"
11-02-2013,0
12-02-2013,"5,8"
13-02-2013,"1,8"
14-02-2013,"4,9"
15-02-2013,0
16-02-2013,"28,1"
17-02-2013,"1,6"
18-02-2013,6
19-02-2013,8888
20-02-2013,"16,9"
21-02-2013,"3,4"
22-02-2013,"6,3"
23-02-2013,6
24-02-2013,0
25-02-2013,0
26-02-2013,3
27-02-2013,"0,2"
28-02-2013,0
01-03-2013,8888
02-03-2013,0
03-03-2013,38
04-03-2013,34
05-03-2013,8888
06-03-2013,0
07-03-2013,0
08-03-2013,5
09-03-2013,"0,6"
10-03-2013,"33,8"
11-03-2013,0
12-03-2013,0
13-03-2013,0
14-03-2013,"7,5"
15-03-2013,"1,2"
16-03-2013,"6,1"
17-03-2013,0
18-03-2013,0
19-03-2013,0
20-03-2013,25
21-03-2013,0
22-03-2013,6
23-03-2013,"0,5"
24-03-2013,0
25-03-2013,0
26-03-2013,0
27-03-2013,1
28-03-2013,"10,8"
29-03-2013,0
30-03-2013,"14,9"
31-03-2013,0
01-04-2013,0
02-04-2013,"0,5"
03-04-2013,0
04-04-2013,"11,5"
05-04-2013,0
06-04-2013,"34,2"
07-04-2013,"2,2"
08-04-2013,8888
09-04-2013,0
10-04-2013,"0,2"
11-04-2013,"2,6"
12-04-2013,0
13-04-2013,0
14-04-2013,"48,2"
15-04-2013,"13,8"
16-04-2013,2
17-04-2013,4
18-04-2013,39
19-04-2013,0
20-04-2013,0
21-04-2013,8888
22-04-2013,13
23-04-2013,0
24-04-2013,"6,7"
25-04-2013,"16,9"
26-04-2013,0
27-04-2013,2
28-04-2013,0
29-04-2013,0
30-04-2013,"7,5"
01-05-2013,0
02-05-2013,0
03-05-2013,8888
04-05-2013,4
05-05-2013,0
06-05-2013,0
07-05-2013,0
08-05-2013,16
09-05-2013,"2,8"
10-05-2013,"0,2"
11-05-2013,8888
12-05-2013,8888
13-05-2013,"18,8"
14-05-2013,0
15-05-2013,0
16-05-2013,"10,9"
17-05-2013,"38,9"
18-05-2013,0
19-05-2013,0
20-05-2013,0
21-05-2013,0
22-05-2013,0
23-05-2013,0
24-05-2013,0
25-05-2013,0
26-05-2013,"6,7"
27-05-2013,0
28-05-2013,0
29-05-2013,0
30-05-2013,"2,7"
31-05-2013,0
01-06-2013,"10,3"
02-06-2013,"0,8"
03-06-2013,"21,3"
04-06-2013,"8,6"
05-06-2013,0
06-06-2013,0
07-06-2013,0
08-06-2013,"42,3"
09-06-2013,0
10-06-2013,"40,2"
11-06-2013,"8,4"
12-06-2013,"24,8"
13-06-2013,8888
14-06-2013,0
15-06-2013,0
16-06-2013,"5,3"
17-06-2013,"13,7"
18-06-2013,0
19-06-2013,"0,8"
20-06-2013,"37,8"
21-06-2013,"10,3"
22-06-2013,"0,2"
23-06-2013,8888
24-06-2013,"13,2"
25-06-2013,0
26-06-2013,0
27-06-2013,16
28-06-2013,0
29-06-2013,"2,7"
30-06-2013,0
01-07-2013,0
02-07-2013,"10,3"
03-07-2013,"0,8"
04-07-2013,"21,3"
05-07-2013,"8,6"
06-07-2013,0
07-07-2013,0
08-07-2013,0
09-07-2013,"42,3"
10-07-2013,0
11-07-2013,"40,2"
12-07-2013,"8,4"
13-07-2013,"24,8"
14-07-2013,8888
15-07-2013,0
16-07-2013,0
17-07-2013,"5,3"
18-07-2013,"13,7"
19-07-2013,0
20-07-2013,"0,8"
21-07-2013,"37,8"
22-07-2013,"10,3"
23-07-2013,"0,2"
24-07-2013,8888
25-07-2013,"13,2"
26-07-2013,0
27-07-2013,0
28-07-2013,16
29-07-2013,0
30-07-2013,"2,7"
31-07-2013,0
01-08-2013,2
02-08-2013,0
03-08-2013,0
04-08-2013,0
05-08-2013,0
06-08-2013,"10,6"
07-08-2013,"4,2"
08-08-2013,"26,6"
09-08-2013,0
10-08-2013,0
11-08-2013,0
12-08-2013,0
13-08-2013,0
14-08-2013,0
15-08-2013,3
16-08-2013,0
17-08-2013,"0,7"
18-08-2013,"13,4"
19-08-2013,0
20-08-2013,0
21-08-2013,0
22-08-2013,0
23-08-2013,0
24-08-2013,0
25-08-2013,0
26-08-2013,0
27-08-2013,0
28-08-2013,0
29-08-2013,0
30-08-2013,"0,9"
31-08-2013,0
01-09-2013,0
02-09-2013,0
03-09-2013,0
04-09-2013,0
05-09-2013,"15,4"
06-09-2013,0
07-09-2013,"25,4"
08-09-2013,0
09-09-2013,0
10-09-2013,0
11-09-2013,0
12-09-2013,0
13-09-2013,0
14-09-2013,3
15-09-2013,"2,5"
16-09-2013,0
17-09-2013,0
18-09-2013,0
19-09-2013,0
20-09-2013,0
21-09-2013,"3,2"
22-09-2013,0
23-09-2013,0
24-09-2013,0
25-09-2013,0
26-09-2013,0
27-09-2013,0
28-09-2013,0
29-09-2013,0
30-09-2013,0
01-10-2013,0
02-10-2013,0
03-10-2013,0
04-10-2013,0
05-10-2013,"27,5"
06-10-2013,0
07-10-2013,"0,4"
08-10-2013,0
09-10-2013,0
10-10-2013,0
11-10-2013,0
12-10-2013,"0,5"
13-10-2013,0
14-10-2013,0
15-10-2013,0
16-10-2013,0
17-10-2013,0
18-10-2013,"0,6"
19-10-2013,"6,7"
20-10-2013,0
21-10-2013,0
22-10-2013,8888
23-10-2013,"4,5"
24-10-2013,0
25-10-2013,0
26-10-2013,0
27-10-2013,0
28-10-2013,"4,8"
29-10-2013,"65,1"
30-10-2013,0
31-10-2013,0
01-11-2013,19
02-11-2013,0
03-11-2013,8888
04-11-2013,8888
05-11-2013,0
06-11-2013,0
07-11-2013,0
08-11-2013,"13,4"
09-11-2013,0
10-11-2013,"0,5"
11-11-2013,0
12-11-2013,"3,3"
13-11-2013,"41,6"
14-11-2013,"33,9"
15-11-2013,"5,7"
16-11-2013,"11,5"
17-11-2013,"4,4"
18-11-2013,0
19-11-2013,0
20-11-2013,0
21-11-2013,0
22-11-2013,0
23-11-2013,0
24-11-2013,0
25-11-2013,0
26-11-2013,"30,4"
27-11-2013,0
28-11-2013,0
29-11-2013,"0,3"
30-11-2013,"32,6"
01-12-2013,0
02-12-2013,"43,4"
03-12-2013,"0,7"
04-12-2013,"21,4"
05-12-2013,0
06-12-2013,"11,5"
07-12-2013,0
08-12-2013,"0,2"
09-12-2013,"6,9"
10-12-2013,0
11-12-2013,0
12-12-2013,"0,4"
13-12-2013,"32,5"
14-12-2013,"3,8"
15-12-2013,"31,9"
16-12-2013,61
17-12-2013,"0,4"
18-12-2013,"6,4"
19-12-2013,"5,2"
20-12-2013,"0,2"
21-12-2013,1
22-12-2013,"7,9"
23-12-2013,"0,4"
24-12-2013,0
25-12-2013,"5,2"
26-12-2013,"3,4"
27-12-2013,0
28-12-2013,0
29-12-2013,"3,2"
30-12-2013,"70,6"
31-12-2013,"21,3"
