datetime,curah_hujan
01-01-2016,"26,6"
02-01-2016,0
03-01-2016,"15,6"
04-01-2016,0
05-01-2016,0
06-01-2016,"11,6"
07-01-2016,"0,3"
08-01-2016,0
09-01-2016,0
10-01-2016,0
11-01-2016,0
12-01-2016,0
13-01-2016,"5,5"
14-01-2016,"1,2"
15-01-2016,0
16-01-2016,"0,2"
17-01-2016,0
18-01-2016,0
19-01-2016,0
20-01-2016,"30,5"
21-01-2016,"0,2"
22-01-2016,"1,8"
23-01-2016,"11,4"
24-01-2016,"14,7"
25-01-2016,"30,8"
26-01-2016,"6,7"
27-01-2016,"0,1"
28-01-2016,"6,6"
29-01-2016,0
30-01-2016,8888
31-01-2016,8888
01-02-2016,7
02-02-2016,"62,2"
03-02-2016,"1,8"
04-02-2016,8888
05-02-2016,"5,9"
06-02-2016,"2,5"
07-02-2016,"6,9"
08-02-2016,"3,6"
09-02-2016,"11,8"
10-02-2016,52
11-02-2016,0
12-02-2016,"12,6"
13-02-2016,"14,4"
14-02-2016,"0,1"
15-02-2016,"4,8"
16-02-2016,0
17-02-2016,"54,1"
18-02-2016,"0,6"
19-02-2016,0
20-02-2016,0
21-02-2016,0
22-02-2016,"1,1"
23-02-2016,"0,1"
24-02-2016,0
25-02-2016,"98,5"
26-02-2016,115
27-02-2016,3
28-02-2016,"52,4"
29-02-2016,"6,1"
01-03-2016,"22,3"
02-03-2016,27
03-03-2016,"8,8"
04-03-2016,11
05-03-2016,"33,5"
06-03-2016,0
07-03-2016,"12,4"
08-03-2016,5
09-03-2016,0
10-03-2016,"0,6"
11-03-2016,"1,5"
12-03-2016,0
13-03-2016,8888
14-03-2016,0
15-03-2016,"2,5"
16-03-2016,"40,9"
17-03-2016,"5,2"
18-03-2016,"10,5"
19-03-2016,0
20-03-2016,"90,8"
21-03-2016,0
22-03-2016,8888
23-03-2016,"5,5"
24-03-2016,0
25-03-2016,8888
26-03-2016,"8,8"
27-03-2016,"0,2"
28-03-2016,0
29-03-2016,57
30-03-2016,"0,4"
31-03-2016,"6,2"
01-04-2016,8888
02-04-2016,0
03-04-2016,0
04-04-2016,0
05-04-2016,8888
06-04-2016,8888
07-04-2016,0
08-04-2016,0
09-04-2016,0
10-04-2016,"3,3"
11-04-2016,0
12-04-2016,0
13-04-2016,8888
14-04-2016,0
15-04-2016,"5,4"
16-04-2016,8888
17-04-2016,0
18-04-2016,"45,4"
19-04-2016,"13,7"
20-04-2016,8
21-04-2016,"124,5"
22-04-2016,2
23-04-2016,0
24-04-2016,0
25-04-2016,8888
26-04-2016,"0,7"
27-04-2016,1
28-04-2016,8888
29-04-2016,0
30-04-2016,0
01-05-2016,"1,4"
02-05-2016,0
03-05-2016,"2,6"
04-05-2016,0
05-05-2016,0
06-05-2016,"5,8"
07-05-2016,0
08-05-2016,"0,5"
09-05-2016,"34,2"
10-05-2016,1
11-05-2016,0
12-05-2016,0
13-05-2016,1
14-05-2016,"14,5"
15-05-2016,0
16-05-2016,0
17-05-2016,4
18-05-2016,"0,6"
19-05-2016,0
20-05-2016,0
21-05-2016,53
22-05-2016,"5,6"
23-05-2016,"5,7"
24-05-2016,"19,5"
25-05-2016,"4,4"
26-05-2016,0
27-05-2016,0
28-05-2016,8888
29-05-2016,0
30-05-2016,"2,5"
31-05-2016,8888
01-06-2016,8888
02-06-2016,0
03-06-2016,0
04-06-2016,8888
05-06-2016,0
06-06-2016,0
07-06-2016,"1,6"
08-06-2016,8888
09-06-2016,0
10-06-2016,31
11-06-2016,0
12-06-2016,0
13-06-2016,0
14-06-2016,0
15-06-2016,0
16-06-2016,0
17-06-2016,"0,2"
18-06-2016,"57,2"
19-06-2016,"4,2"
20-06-2016,0
21-06-2016,0
22-06-2016,"5,5"
23-06-2016,"0,2"
24-06-2016,"6,4"
25-06-2016,59
26-06-2016,0
27-06-2016,21
28-06-2016,0
29-06-2016,0
30-06-2016,"15,8"
01-07-2016,3
02-07-2016,8888
03-07-2016,0
04-07-2016,59
05-07-2016,0
06-07-2016,"0,5"
07-07-2016,0
08-07-2016,"0,8"
09-07-2016,0
10-07-2016,0
11-07-2016,0
12-07-2016,"4,5"
13-07-2016,0
14-07-2016,0
15-07-2016,0
16-07-2016,0
17-07-2016,76
18-07-2016,32
19-07-2016,0
20-07-2016,"15,8"
21-07-2016,"44,7"
22-07-2016,0
23-07-2016,"14,8"
24-07-2016,0
25-07-2016,8
26-07-2016,0
27-07-2016,0
28-07-2016,0
29-07-2016,0
30-07-2016,"0,2"
31-07-2016,0
01-08-2016,0
02-08-2016,"24,5"
03-08-2016,"2,8"
04-08-2016,0
05-08-2016,0
06-08-2016,0
07-08-2016,0
08-08-2016,"6,5"
09-08-2016,"18,2"
10-08-2016,"2,6"
11-08-2016,4
12-08-2016,8888
13-08-2016,0
14-08-2016,"28,8"
15-08-2016,"5,6"
16-08-2016,0
17-08-2016,0
18-08-2016,0
19-08-2016,0
20-08-2016,50
21-08-2016,0
22-08-2016,8888
23-08-2016,4
24-08-2016,"13,8"
25-08-2016,0
26-08-2016,0
27-08-2016,0
28-08-2016,"3,6"
29-08-2016,0
30-08-2016,20
31-08-2016,"42,8"
01-09-2016,0
02-09-2016,8888
03-09-2016,"8,6"
04-09-2016,0
05-09-2016,55
06-09-2016,0
07-09-2016,8
08-09-2016,"27,5"
09-09-2016,0
10-09-2016,0
11-09-2016,0
12-09-2016,0
13-09-2016,0
14-09-2016,0
15-09-2016,6
16-09-2016,0
17-09-2016,0
18-09-2016,"20,5"
19-09-2016,0
20-09-2016,13
21-09-2016,0
22-09-2016,"6,5"
23-09-2016,0
24-09-2016,"59,8"
25-09-2016,"0,6"
26-09-2016,"22,8"
27-09-2016,0
28-09-2016,8888
29-09-2016,"8,7"
30-09-2016,"0,4"
01-10-2016,"2,2"
02-10-2016,0
03-10-2016,8888
04-10-2016,"0,7"
05-10-2016,"5,8"
06-10-2016,1
07-10-2016,"3,2"
08-10-2016,0
09-10-2016,"4,1"
10-10-2016,"4,5"
11-10-2016,"8,5"
12-10-2016,15
13-10-2016,"0,6"
14-10-2016,"2,2"
15-10-2016,0
16-10-2016,"14,7"
17-10-2016,0
18-10-2016,0
19-10-2016,0
20-10-2016,0
21-10-2016,0
22-10-2016,21
23-10-2016,"7,3"
24-10-2016,"20,8"
25-10-2016,7
26-10-2016,"1,4"
27-10-2016,"2,2"
28-10-2016,0
29-10-2016,13
30-10-2016,"1,6"
31-10-2016,0
01-11-2016,0
02-11-2016,"19,7"
03-11-2016,0
04-11-2016,"2,6"
05-11-2016,0
06-11-2016,0
07-11-2016,0
08-11-2016,0
09-11-2016,51
10-11-2016,0
11-11-2016,"1,7"
12-11-2016,16
13-11-2016,"11,8"
14-11-2016,41
15-11-2016,0
16-11-2016,4
17-11-2016,1
18-11-2016,0
19-11-2016,"0,2"
20-11-2016,0
21-11-2016,7
22-11-2016,"28,2"
23-11-2016,"0,7"
24-11-2016,0
25-11-2016,0
26-11-2016,0
27-11-2016,4
28-11-2016,"9,4"
29-11-2016,"1,6"
30-11-2016,0
01-12-2016,0
02-12-2016,8888
03-12-2016,"6,4"
04-12-2016,"0,4"
05-12-2016,"14,8"
06-12-2016,"1,7"
07-12-2016,0
08-12-2016,8888
09-12-2016,"14,4"
10-12-2016,0
11-12-2016,0
12-12-2016,"3,1"
13-12-2016,0
14-12-2016,0
15-12-2016,"0,8"
16-12-2016,0
17-12-2016,0
18-12-2016,"7,3"
19-12-2016,0
20-12-2016,"1,3"
21-12-2016,0
22-12-2016,"0,4"
23-12-2016,"0,5"
24-12-2016,0
25-12-2016,0
26-12-2016,8888
27-12-2016,7
28-12-2016,0
29-12-2016,0
30-12-2016,0
31-12-2016,0
