datetime,curah_hujan
01-01-2015,25.1
02-01-2015,6.9
03-01-2015,31.6
04-01-2015,15.7
05-01-2015,2.8
06-01-2015,0
07-01-2015,0
08-01-2015,0
09-01-2015,0
10-01-2015,0
11-01-2015,0
12-01-2015,0.7
13-01-2015,51.3
14-01-2015,11.4
15-01-2015,3.8
16-01-2015,8888
17-01-2015,18.3
18-01-2015,4.6
19-01-2015,2.9
20-01-2015,25.6
21-01-2015,35.7
22-01-2015,17.3
23-01-2015,134.3
24-01-2015,8.8
25-01-2015,3
26-01-2015,40.8
27-01-2015,32
28-01-2015,8888
29-01-2015,8888
30-01-2015,0
31-01-2015,0
01-02-2015,19.4
02-02-2015,95.8
03-02-2015,1.6
04-02-2015,1
05-02-2015,0.6
06-02-2015,1.8
07-02-2015,0.8
08-02-2015,11.6
09-02-2015,177
10-02-2015,277.5
11-02-2015,31.4
12-02-2015,14.7
13-02-2015,12
14-02-2015,30.8
15-02-2015,8888
16-02-2015,58.8
17-02-2015,0.5
18-02-2015,55.6
19-02-2015,85.6
20-02-2015,10.5
21-02-2015,0
22-02-2015,0
23-02-2015,0
24-02-2015,1.9
25-02-2015,0
26-02-2015,0
27-02-2015,44.1
28-02-2015,6.5
01-03-2015,0
02-03-2015,0.6
03-03-2015,16.6
04-03-2015,
05-03-2015,8888
06-03-2015,0
07-03-2015,
08-03-2015,11
09-03-2015,3
10-03-2015,11.9
11-03-2015,2.5
12-03-2015,3.9
13-03-2015,1.1
14-03-2015,8888
15-03-2015,0
16-03-2015,55.3
17-03-2015,0.8
18-03-2015,3.5
19-03-2015,0
20-03-2015,35.8
21-03-2015,25.1
22-03-2015,0
23-03-2015,6
24-03-2015,0
25-03-2015,0
26-03-2015,14
27-03-2015,13.2
28-03-2015,0
29-03-2015,0
30-03-2015,2.8
31-03-2015,8888
01-04-2015,0
02-04-2015,0.1
03-04-2015,3.8
04-04-2015,0
05-04-2015,3.4
06-04-2015,0.3
07-04-2015,4.5
08-04-2015,7.5
09-04-2015,7.4
10-04-2015,2.2
11-04-2015,5
12-04-2015,1
13-04-2015,4.9
14-04-2015,0.2
15-04-2015,8888
16-04-2015,0
17-04-2015,0
18-04-2015,1.4
19-04-2015,33.3
20-04-2015,8888
21-04-2015,0.3
22-04-2015,1
23-04-2015,0
24-04-2015,0
25-04-2015,2.6
26-04-2015,4
27-04-2015,8888
28-04-2015,0
29-04-2015,0
30-04-2015,0
01-05-2015,0
02-05-2015,0
03-05-2015,0
04-05-2015,16.6
05-05-2015,8888
06-05-2015,0
07-05-2015,0
08-05-2015,0
09-05-2015,0
10-05-2015,8888
11-05-2015,0
12-05-2015,0
13-05-2015,0
14-05-2015,0
15-05-2015,0
16-05-2015,0
17-05-2015,0
18-05-2015,0
19-05-2015,0
20-05-2015,0
21-05-2015,0
22-05-2015,0
23-05-2015,0
24-05-2015,0
25-05-2015,0
26-05-2015,0
27-05-2015,0
28-05-2015,0
29-05-2015,0
30-05-2015,0
31-05-2015,0
01-06-2015,0
02-06-2015,0
03-06-2015,1
04-06-2015,0
05-06-2015,0
06-06-2015,0
