datetime,curah_hujan
01-01-2018,46.4
02-01-2018,0
03-01-2018,0
04-01-2018,1
05-01-2018,0.5
06-01-2018,0
07-01-2018,8888
08-01-2018,0
09-01-2018,0
10-01-2018,8888
11-01-2018,0
12-01-2018,8888
13-01-2018,0
14-01-2018,14.3
15-01-2018,14.5
16-01-2018,21.8
17-01-2018,8888
18-01-2018,8888
19-01-2018,44.7
20-01-2018,3.2
21-01-2018,8.2
22-01-2018,1
23-01-2018,5.9
24-01-2018,6.3
25-01-2018,22.2
26-01-2018,0
27-01-2018,4.5
28-01-2018,2.4
29-01-2018,4
30-01-2018,11
31-01-2018,3.5
01-02-2018,2.5
02-02-2018,2.5
03-02-2018,50.7
04-02-2018,33
05-02-2018,66
06-02-2018,44
07-02-2018,12.1
08-02-2018,5
09-02-2018,8.3
10-02-2018,5.4
11-02-2018,0
12-02-2018,18.6
13-02-2018,7
14-02-2018,8888
15-02-2018,3.2
16-02-2018,104.6
17-02-2018,0
18-02-2018,2.8
19-02-2018,1
20-02-2018,2
21-02-2018,1.2
22-02-2018,1.2
23-02-2018,0
24-02-2018,0
25-02-2018,5
26-02-2018,19.1
27-02-2018,32.2
28-02-2018,3.8
01-03-2018,2.4
02-03-2018,0.2
03-03-2018,0
04-03-2018,4.5
05-03-2018,3
06-03-2018,0
07-03-2018,5.5
08-03-2018,8
09-03-2018,0.4
10-03-2018,26.2
11-03-2018,1.6
12-03-2018,16.4
13-03-2018,8888
14-03-2018,0
15-03-2018,1
16-03-2018,0
17-03-2018,8888
18-03-2018,36.6
19-03-2018,51
20-03-2018,2
21-03-2018,1.2
22-03-2018,0
23-03-2018,8.4
24-03-2018,0
25-03-2018,8888
26-03-2018,8.6
27-03-2018,0
28-03-2018,13.4
29-03-2018,8888
30-03-2018,11.6
31-03-2018,0
01-04-2018,0
02-04-2018,0
03-04-2018,4
04-04-2018,52.3
05-04-2018,0
06-04-2018,1
07-04-2018,0
08-04-2018,7.5
09-04-2018,3.6
10-04-2018,0
11-04-2018,0
12-04-2018,0
13-04-2018,0
14-04-2018,8888
15-04-2018,8888
16-04-2018,0
17-04-2018,0
18-04-2018,9
19-04-2018,0
20-04-2018,4.1
21-04-2018,0
22-04-2018,0
23-04-2018,10.2
24-04-2018,18.3
25-04-2018,1.5
26-04-2018,15.8
27-04-2018,1.9
28-04-2018,1.4
29-04-2018,28.5
30-04-2018,0
01-05-2018,0
02-05-2018,0
03-05-2018,0
04-05-2018,7.8
05-05-2018,0
06-05-2018,0
07-05-2018,0
08-05-2018,0
09-05-2018,0
10-05-2018,0
11-05-2018,0
12-05-2018,0
13-05-2018,0
14-05-2018,0
15-05-2018,0
16-05-2018,0
17-05-2018,0
18-05-2018,0
19-05-2018,0
20-05-2018,0
21-05-2018,0
22-05-2018,0
23-05-2018,1.5
24-05-2018,5.5
25-05-2018,0.7
26-05-2018,1
27-05-2018,0
28-05-2018,0
29-05-2018,0
30-05-2018,0
31-05-2018,0
01-06-2018,0.5
02-06-2018,0
03-06-2018,0
04-06-2018,0
05-06-2018,0
06-06-2018,0
07-06-2018,0
08-06-2018,0
09-06-2018,0
10-06-2018,0
11-06-2018,0
12-06-2018,0
13-06-2018,1
14-06-2018,0
15-06-2018,0
16-06-2018,0
17-06-2018,0
18-06-2018,0
19-06-2018,0
20-06-2018,0
21-06-2018,0
22-06-2018,0
23-06-2018,0
24-06-2018,0
25-06-2018,3.2
26-06-2018,6.7
27-06-2018,1.1
28-06-2018,0
29-06-2018,0
30-06-2018,0
01-07-2018,0
02-07-2018,0
03-07-2018,0
04-07-2018,0
05-07-2018,0
06-07-2018,0
07-07-2018,0
08-07-2018,0
09-07-2018,0
10-07-2018,0
11-07-2018,0
12-07-2018,0
13-07-2018,0
14-07-2018,0
15-07-2018,0
16-07-2018,0
17-07-2018,0
18-07-2018,0
19-07-2018,0
20-07-2018,0
21-07-2018,0
22-07-2018,0
23-07-2018,0
24-07-2018,0
25-07-2018,0
26-07-2018,14.5
27-07-2018,0
28-07-2018,0
29-07-2018,0
30-07-2018,0
31-07-2018,0
01-08-2018,0
02-08-2018,0
03-08-2018,0
04-08-2018,0
05-08-2018,0
06-08-2018,0
07-08-2018,0
08-08-2018,0
09-08-2018,0
10-08-2018,0
11-08-2018,32.8
12-08-2018,0
13-08-2018,0
14-08-2018,0
15-08-2018,0
16-08-2018,0
17-08-2018,0
18-08-2018,0
19-08-2018,0
20-08-2018,0
21-08-2018,0
22-08-2018,0
23-08-2018,0
24-08-2018,0
25-08-2018,0
26-08-2018,0
27-08-2018,0
28-08-2018,0
29-08-2018,0
30-08-2018,0
31-08-2018,0
01-09-2018,10.6
02-09-2018,8888
03-09-2018,17.6
04-09-2018,0
05-09-2018,0
06-09-2018,0
07-09-2018,0
08-09-2018,0
09-09-2018,0
10-09-2018,0
11-09-2018,0
12-09-2018,0
13-09-2018,0
14-09-2018,0
15-09-2018,0
16-09-2018,0
17-09-2018,0
18-09-2018,0
19-09-2018,0
20-09-2018,8888
21-09-2018,8888
22-09-2018,36.6
23-09-2018,0
24-09-2018,0
25-09-2018,0
26-09-2018,0
27-09-2018,0
28-09-2018,8888
29-09-2018,0
30-09-2018,0
01-10-2018,0
02-10-2018,0
03-10-2018,0
04-10-2018,0
05-10-2018,0
06-10-2018,0
07-10-2018,0
08-10-2018,0
09-10-2018,0
10-10-2018,0
11-10-2018,0
12-10-2018,0
13-10-2018,0
14-10-2018,0
15-10-2018,0
16-10-2018,0
17-10-2018,0
18-10-2018,0
19-10-2018,14.3
20-10-2018,0
21-10-2018,0
22-10-2018,0
23-10-2018,26.8
24-10-2018,0.5
25-10-2018,0
26-10-2018,0
27-10-2018,2.5
28-10-2018,2.2
29-10-2018,94.5
30-10-2018,18.8
31-10-2018,0
01-11-2018,0
02-11-2018,20
03-11-2018,0
04-11-2018,0
05-11-2018,0
06-11-2018,0
07-11-2018,0
08-11-2018,0.5
09-11-2018,1.2
10-11-2018,8.5
11-11-2018,0
12-11-2018,8888
13-11-2018,0
14-11-2018,0
15-11-2018,0
16-11-2018,9.4
17-11-2018,0
18-11-2018,0
19-11-2018,0
20-11-2018,0
21-11-2018,0
22-11-2018,0
23-11-2018,47
24-11-2018,12
25-11-2018,0
26-11-2018,0
27-11-2018,13.2
28-11-2018,22
29-11-2018,0
30-11-2018,7.1
01-12-2018,8888
02-12-2018,0
03-12-2018,8888
04-12-2018,11.4
05-12-2018,2
06-12-2018,1
07-12-2018,4
08-12-2018,0
09-12-2018,8888
10-12-2018,0
11-12-2018,0
12-12-2018,0
13-12-2018,0.8
14-12-2018,8888
15-12-2018,6
16-12-2018,0
17-12-2018,0
18-12-2018,0
19-12-2018,23.4
20-12-2018,0
21-12-2018,0
