datetime,curah_hujan
01-01-2014,0.5
02-01-2014,0
03-01-2014,8888
04-01-2014,0
05-01-2014,25
06-01-2014,4.7
07-01-2014,13.7
08-01-2014,12.1
09-01-2014,0
10-01-2014,11.5
11-01-2014,31.5
12-01-2014,78.7
13-01-2014,17
14-01-2014,27.6
15-01-2014,5.5
16-01-2014,117.8
17-01-2014,147.9
18-01-2014,94.6
19-01-2014,12.8
20-01-2014,82.1
21-01-2014,25
22-01-2014,84.7
23-01-2014,13
24-01-2014,25.5
25-01-2014,11.4
26-01-2014,0.5
27-01-2014,16.2
28-01-2014,50
29-01-2014,0
30-01-2014,6.7
31-01-2014,9.6
01-02-2014,12.5
02-02-2014,41.4
03-02-2014,95.7
04-02-2014,60.4
05-02-2014,108.2
06-02-2014,2.5
07-02-2014,0
08-02-2014,17.1
09-02-2014,39.7
10-02-2014,10.1
11-02-2014,0
12-02-2014,0
13-02-2014,19.8
14-02-2014,6.8
15-02-2014,13.1
16-02-2014,0
17-02-2014,24.5
18-02-2014,8888
19-02-2014,0
20-02-2014,49
21-02-2014,21.7
22-02-2014,48.1
23-02-2014,11.6
24-02-2014,51.2
25-02-2014,35.3
26-02-2014,65.9
27-02-2014,9
28-02-2014,0
01-03-2014,25.8
02-03-2014,0
03-03-2014,0
04-03-2014,0.6
05-03-2014,8888
06-03-2014,3.4
07-03-2014,0
08-03-2014,8888
09-03-2014,7
10-03-2014,12.8
11-03-2014,19.7
12-03-2014,9.1
13-03-2014,26.2
14-03-2014,8888
15-03-2014,0
16-03-2014,0
17-03-2014,1.4
18-03-2014,0.4
19-03-2014,0
20-03-2014,1.9
21-03-2014,0
22-03-2014,6.7
23-03-2014,15
24-03-2014,0.3
25-03-2014,24.3
26-03-2014,8888
27-03-2014,0
28-03-2014,8.4
29-03-2014,16.8
30-03-2014,0
31-03-2014,0
01-04-2014,0
02-04-2014,8888
03-04-2014,0
04-04-2014,22.4
05-04-2014,0
06-04-2014,0
07-04-2014,1.4
08-04-2014,0
09-04-2014,23.2
10-04-2014,0
11-04-2014,0
12-04-2014,8888
13-04-2014,8888
14-04-2014,4.4
15-04-2014,0.5
16-04-2014,0.9
17-04-2014,2
18-04-2014,6.9
19-04-2014,53.5
20-04-2014,1.8
21-04-2014,0
22-04-2014,45.5
23-04-2014,0
24-04-2014,0
25-04-2014,0
26-04-2014,0
27-04-2014,0
28-04-2014,3
29-04-2014,0
30-04-2014,0
01-05-2014,0
02-05-2014,0
03-05-2014,0
04-05-2014,0
05-05-2014,0
06-05-2014,2.5
07-05-2014,4.4
08-05-2014,0
09-05-2014,0
10-05-2014,0
11-05-2014,0.5
12-05-2014,0
13-05-2014,12.1
14-05-2014,0
15-05-2014,5.6
16-05-2014,4.8
17-05-2014,0
